Project Title,Administering  IC,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI  Person ID,Contact PI / Project Leader,Organization Name,FY,FY Total Cost 
HIGH-LEVEL EXPRESSION OF HUMAN EAAT3 FOR BIOCHEMICAL AND STRUCTURAL ANALYSIS,NIGMS,1R15GM088799-01A1,1,R15,GM,88799,1,A1,1890930,"KAVANAUGH, MICHAEL P.",UNIVERSITY OF MONTANA,2011,269444
INVESTIGATION OF ER ALPHA EXPRESSION ON MALE BEHAVIOR UNDER FIELD CONDITIONS,NICHD,1R15HD075222-01A1,1,R15,HD,75222,1,A1,10416109,"KEANE, BRIAN ",MIAMI UNIVERSITY OXFORD,2013,438390
DIETARY AND ENDOCRINE REGULATION OF SLEEP,NINDS,1R15NS080155-01A1,1,R15,NS,80155,1,A1,7985703,"KEENE, ALEX C ",UNIVERSITY OF NEVADA RENO,2013,368404
INDUCTION OF DNA DAMAGE SIGNALING CASCADE UPON RVFV INFECTION,NIAID,1R15AI100001-01A1,1,R15,AI,100001,1,A1,10192171,"KEHN-HALL, KYLENE ",GEORGE MASON UNIVERSITY,2013,429703
A PLACEBO-CONTROL EVALUATION OF NEUROFEEDBACK EFFICACY IN ADULTS WITH ADHD,NCCAM,1R15AT007226-01A1,1,R15,AT,7226,1,A1,1910589,"KEITH, JULIAN R",UNIVERSITY OF NORTH CAROLINA WILMINGTON,2012,438255
REGULATION OF MICRORNA-375 BY CYCLIC-AMP IN PANCREATIC BETA-CELLS,NIDDK,1R15DK088281-01,1,R15,DK,88281,1,,9859472,"KELLER, DAVID MATTHEW",CALIFORNIA STATE UNIVERSITY CHICO,2010,202975
EXPERIENCE INDUCED CHANGES IN TASTE SENSITIVITIES FOR SWEETENERS AND MONOSODIUM G,NIDCD,1R15DC009042-01A2,1,R15,DC,9042,1,A2,8629600,"KENNEDY, LINDA MANN","CLARK UNIVERSITY (WORCESTER, MA)",2009,216680
METABONOMICS STUDIES OF HUMAN DISEASES,NCI,1R15CA152985-01A1,1,R15,CA,152985,1,A1,8920148,"KENNEDY, MICHAEL A.",MIAMI UNIVERSITY OXFORD,2011,426000
REGULATION OF ARMADILLO DEPENDENT TRANSCRIPTION IN DROSOPHILA,NIGMS,1R15GM101598-01A1,1,R15,GM,101598,1,A1,10849535,"KENNELL, JENNIFER ",VASSAR COLLEGE,2013,263175
INVESTIGATION OF PLATELET G-PROTEIN COUPLED RECEPTORS,NHLBI,1R15HL115567-01A1,1,R15,HL,115567,1,A1,10037651,"KHASAWNEH, FADI T",WESTERN UNIVERSITY OF HEALTH SCIENCES,2013,416976
ANALYSIS OF RET SIGNALING IN DROSOPHILA ENTERIC NERVOUS SYSTEM DEVELOPMENT.,NINDS,1R15NS075918-01,1,R15,NS,75918,1,,8806432,"KIDD, THOMAS ",UNIVERSITY OF NEVADA RENO,2011,414357
A BIOPSYCHOSOCIAL MODEL OF EMOTION PROCESSES DETERMINING THE ROLE OF OVERCONTROLL,NICHD,1R15HD076158-01,1,R15,HD,76158,1,,8483488,"KIEL, ELIZABETH JAYNE",MIAMI UNIVERSITY OXFORD,2013,392521
BETTER LONG CANE DESIGN AND BIOMECHANICS FOR BLIND CANE USERS,NEI,1R15EY024149-01,1,R15,EY,24149,1,,11703379,"KIM, DAE SHIK",WESTERN MICHIGAN UNIVERSITY,2014,421125
ERP AND EYE TRACKING STUDIES OF EXPECTANCY BIAS IN TRAUMA SURVIVORS.,NIMH,2R15MH081276-02,2,R15,MH,81276,2,,1868134,"KIMBLE, MATTHEW O",MIDDLEBURY COLLEGE,2012,287944
POSITIONAL CLONING OF MUTATIONS THAT DISRUPT HAIR DEVELOPMENT IN MICE.,NIAMS,1R15AR059572-01A1,1,R15,AR,59572,1,A1,1865271,"KING, THOMAS R",CENTRAL CONNECTICUT STATE UNIVERSITY,2011,287622
ELUCIDATING CONSERVED MECHANISMS OF NONCENTROSOMAL MICROTUBULE ARRAY FORMATION,NIGMS,1R15GM102839-01A1,1,R15,GM,102839,1,A1,11140998,"KIRIK, VIKTOR ",ILLINOIS STATE UNIVERSITY,2013,288000
NONCANONICAL SIGNALING AND EMERGENT TRASTUZUMAB RESISTANCE IN BREAST CANCER,NCI,2R15CA132124-02,2,R15,CA,132124,2,,8638561,"KLINKE, DAVID JOHN",WEST VIRGINIA UNIVERSITY,2012,440510
FLIZ1 REGULATION OF GATA-3 IN BREAST CANCER,NCI,1R15CA169978-01A1,1,R15,CA,169978,1,A1,11165076,"KNEPPER, JANICE E.",VILLANOVA UNIVERSITY,2013,469380
MOLECULAR MECHANISMS OF PROTEIN-MEMBRANE INTERACTIONS DRIVING INSULIN SECRETION,NIGMS,1R15GM102866-01A1,1,R15,GM,102866,1,A1,8955656,"KNIGHT, JEFFERSON D.",UNIVERSITY OF COLORADO DENVER,2014,329632
SUPER-HIGH RESOLUTION OPTICAL NANOSCOPY BASED ON MICROLENSES,NIGMS,1R15GM106364-01,1,R15,GM,106364,1,,8542786,"KOHLI, PUNIT ",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2013,327972
DEOXYRIBOZYME SENSOR-BASED DIAGNOSTICS FOR MYCOBACTERIUM TUBERCULOSIS,NIAID,1R15AI103880-01A1,1,R15,AI,103880,1,A1,8444557,"KOLPASHCHIKOV, DMITRY MIKHAYLOVICH",UNIVERSITY OF CENTRAL FLORIDA,2013,429965
THE ROLE OF ETS1 IN MELANOCYTE DEVELOPMENT,NIAMS,1R15AR062331-01,1,R15,AR,62331,1,,6825766,"KOS, LIDIA ",FLORIDA INTERNATIONAL UNIVERSITY,2012,377313
DEVELOPMENT OF A NOVEL ANIMAL MODEL OF TARDIVE DYSKINESIA,NIMH,1R15MH091639-01,1,R15,MH,91639,1,,8494141,"KOVOOR, ABRAHAM ",UNIVERSITY OF RHODE ISLAND,2010,367585
INVESTIGATION OF ANAPHASE PROMOTING COMPLEX FUNCTION IN SYNAPTIC TRANSMISSION,NINDS,1R15NS078568-01,1,R15,NS,78568,1,,10212156,"KOWALSKI, JENNIFER ",BUTLER UNIVERSITY,2012,373147
FUNCTION AND REGULATION OF TRPM7 MG2+-INHIBITED CATION CHANNELS,NIAID,1R15AI090613-01,1,R15,AI,90613,1,,10267825,"KOZAK, JULIUSZ ASHOT",WRIGHT STATE UNIVERSITY,2010,250743
THE ROLE OF RB DEPHOSPHORYLATION IN APOPTOSIS,NCI,1R15CA143390-01A1,1,R15,CA,143390,1,A1,2044636,"KRUCHER, NANCY A",PACE UNIVERSITY NEW YORK,2010,382141
MEDICAID TOBACCO CESSATION: STATE POLICIES AND EFFECTIVENESS,NCI,1R15CA176600-01A1,1,R15,CA,176600,1,A1,9450816,"KU, LEIGHTON ",GEORGE WASHINGTON UNIVERSITY,2014,475181
ANALYSIS OF TLR AGONIST TREATED TUMOR CELLS,NCI,2R15CA137858-02,2,R15,CA,137858,2,,6381230,"KURT, ROBERT A",LAFAYETTE COLLEGE,2012,273271
HUMAN B-CELL METABOLIC SIGNALING UNDER CHRONIC NUTRIENT OVERLOAD,NIDDK,1R15DK094142-01A1,1,R15,DK,94142,1,A1,8803828,"KWON, GUIM ",SOUTHERN ILLINOIS UNIV AT EDWARDSVILLE,2012,429000
PEROXYNITRITE DAMAGE TO MICROTUBULE PROTEINS,NINDS,2R15NS038885-05,2,R15,NS,38885,5,,1899647,"LANDINO, LISA MARIE",COLLEGE OF WILLIAM AND MARY,2011,415200
IMPLICIT SCIENCE ATTITUDES & STEROTYPES: CHANGES IN STEM EDUCATION GENDER GAP,NICHD,1R15HD071373-01A1,1,R15,HD,71373,1,A1,10699575,"LANE, KRISTIN ANN",BARD COLLEGE,2012,168908
ROLE OF INTERLEUKIN-3 AND BASOPHILS IN A MOUSE MODEL OF CUTANEOUS LEISHMANIASIS,NIAID,1R15AI094443-01,1,R15,AI,94443,1,,2108992,"LANTZ, CHRIS STEVEN",JAMES MADISON UNIVERSITY,2011,243200
MISMATCH REPAIR RESPONSES TO GUANINE-RICH DNA,NCI,1R15CA182978-01,1,R15,CA,182978,1,,8609500,"LARSON, ERIK ",ILLINOIS STATE UNIVERSITY,2014,362500
ROLE OF SURFACE CHARGE IN THE INTERNALIZATION MECHANISMS OF CARBOXY-METHYL DEXTRA,NIBIB,1R15EB010228-01,1,R15,EB,10228,1,,10340386,"LATORRE-ESTEVES, MAGDA M",UNIVERSITY OF PUERTO RICO MAYAGUEZ,2010,225000
3C PROTEASE POLYUBIQUITYLATION AS A PICORNAVIRUS REPLICATION SUCCESS DETERMINANT,NIAID,1R15AI099134-01,1,R15,AI,99134,1,,10838446,"LAWSON, THOMAS GLEN",BATES COLLEGE,2012,350000
ADAPTIVE EDU THERAPY FOR BRAIN TUMORS,NINDS,1R15NS084293-01,1,R15,NS,84293,1,,7355420,"LAYWELL, ERIC DION",FLORIDA STATE UNIVERSITY,2013,430586
SIGNALING INPUTS THAT MAINTAIN THE HETEROGENEITY OF COLORECTAL CANCER CELLS,NCI,1R15CA152852-01,1,R15,CA,152852,1,,9601484,"LAZAROVA, DARINA LAZAROVA",COMMONWEALTH MEDICAL COLLEGE,2010,391944
DEVELOPMENT AND REGENERATION OF THE ZEBRAFISH MAXILLARY BARBEL,NICHD,3R15HD064169-01A1S1,3,R15,HD,64169,1,A1S1,2096941,"LECLAIR, ELIZABETH E",DE PAUL UNIVERSITY,2012,22067
DEVELOPMENT AND REGENERATION OF THE ZEBRAFISH MAXILLARY BARBEL,NICHD,1R15HD064169-01A1,1,R15,HD,64169,1,A1,2096941,"LECLAIR, ELIZABETH E",DE PAUL UNIVERSITY,2011,418815
METAL-DEPENDENT PHOSPHOHYDROLASE ACTIVITY OF CVFA FROM STREPTOCOCCUS PYOGENES,NIGMS,1R15GM101603-01,1,R15,GM,101603,1,,10219564,"LEE, BRIAN MICHAEL ",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2012,334650
BIOMIMETIC TISSUE ADHESIVE WITH MECHANICALLY TOUGH HYDROGEL SUPPORT,NIGMS,1R15GM104846-01,1,R15,GM,104846,1,,8722612,"LEE, BRUCE P",MICHIGAN TECHNOLOGICAL UNIVERSITY,2013,344459
COMBINATORIAL CONTROL OF MET4-ACTIVATED TRANSCRIPTION,NIGMS,1R15GM086847-01A1,1,R15,GM,86847,1,A1,1941626,"LEE, TRACI A",UNIVERSITY OF WISCONSIN PARKSIDE,2011,289203
A LIFESTYLE PHYSICAL ACTIVITY INTERVENTION FOR OLDER SEDENTARY WOMEN,NINR,1R15NR012832-01A1,1,R15,NR,12832,1,A1,10513543,"LEFLER, LEANNE L",UNIV OF ARKANSAS FOR MED SCIS,2012,434259
A GENETIC MODEL OF NMDA RECEPTOR FUNCTION IN CELL DEATH,NIGMS,1R15GM104836-01,1,R15,GM,104836,1,,8621250,"LEHMANN, MICHAEL ",UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2013,260530
THE CTIP2/BCL11B TRANSCRIPTIONAL NETWORK IN TOOTH DEVELOPMENT,NIDCR,1R15DE021879-01,1,R15,DE,21879,1,,1883778,"LEID, MARK E",OREGON STATE UNIVERSITY,2011,291451
ADAPTABLE HYDROGEL OXYGEN DELIVERY PLATFORM FOR WOUND CARE,NIGMS,1R15GM104851-01A1,1,R15,GM,104851,1,A1,8838122,"LEIPZIG, NIC ",UNIVERSITY OF AKRON,2013,358274
NOVEL MECHANISMS OF GROWTH CONE GUIDANCE,NINDS,1R15NS070172-01A1,1,R15,NS,70172,1,A1,10001263,"LEMONS, MICHELE LYNN",ASSUMPTION COLLEGE,2011,187709
CLASS D CARBAPENEMASES:  DEFINING THE ROLE OF CARBAPENEM CONFORMATIONAL CHANGES,NIAID,2R15AI082416-02,2,R15,AI,82416,2,,1938145,"LEONARD, DAVID A",GRAND VALLEY STATE UNIVERSITY,2012,394210
TRNASE Z REACTION IS CENTRAL TO TRNA MATURATION,NIGMS,3R15GM101620-03S1,3,R15,GM,101620,3,S1,1865084,"LEVINGER, LOUIS F",YORK COLLEGE,2012,29561
TRNASE Z REACTION IS CENTRAL TO TRNA MATURATION,NIGMS,9R15GM101620-03,9,R15,GM,101620,3,,1865084,"LEVINGER, LOUIS F",YORK COLLEGE,2012,299305
MECHANISMS OF STEADY-STATE NUCLEAR SIZE REGULATION IN XENOPUS,NIGMS,1R15GM106318-01,1,R15,GM,106318,1,,9405550,"LEVY, DANIEL LEON",UNIVERSITY OF WYOMING,2013,310582
GENOME-WIDE ANALYSIS IDENTIFIES GENES REQUIRED FOR REPAIR OF DNA STRAND BREAKS,NIGMS,1R15GM099049-01A1,1,R15,GM,99049,1,A1,8615090,"LEWIS, LYSLE KEVIN",TEXAS STATE UNIVERSITY-SAN MARCOS,2012,292635
MINORITY STRESS; ALCOHOL USE; AND INTIMATE PARTNER VIOLENCE AMONG LESBIANS,NIAAA,1R15AA020424-01A1,1,R15,AA,20424,1,A1,9832253,"LEWIS, ROBIN J.",OLD DOMINION UNIVERSITY,2012,446056
BIOSENSING DEVICES FOR CYTOTOXIC AND GENOTOXIC ASSESSMENT OF NANOMATERIALS,NIEHS,1R15ES021079-01,1,R15,ES,21079,1,,9021479,"LI, CHENZHONG ",FLORIDA INTERNATIONAL UNIVERSITY,2012,420887
NANOELECTRODE ARRAY BASED ELECTRONIC BIOSENSORS FOR RAPID PROFILING OF CANCEROUS,NCI,1R15CA159250-01,1,R15,CA,159250,1,,7952102,"LI, JUN ",KANSAS STATE UNIVERSITY,2011,444000
DNA DAMAGE AND REPAIR IN HUMAN MELANOCYTES: RELATION TO MELANOMAGENESIS MUTATIONS,NCI,1R15CA164862-01,1,R15,CA,164862,1,,7647185,"LI, SHISHENG ",LOUISIANA STATE UNIV A&M COL BATON ROUGE,2012,457963
ELEVATED ZINC IN ISCHEMIA AND REPERFUSION,NINDS,1R15NS081629-01A1,1,R15,NS,81629,1,A1,7922235,"LI, YANG V",OHIO UNIVERSITY ATHENS,2013,445500
PARASYMPATHETIC DYSFUNCTION IN OBESITY: EFFECT OF CHOLESTEROL ON VACHT,NHLBI,1R15HL118696-01,1,R15,HL,118696,1,,8420352,"LI, YIFAN ",UNIVERSITY OF SOUTH DAKOTA,2013,408810
RNA QUALITY CONTROL AGAINST OXIDATIVE DAMAGE,NIGMS,1R15GM097693-01,1,R15,GM,97693,1,,8001262,"LI, ZHONGWEI ",FLORIDA ATLANTIC UNIVERSITY,2011,317900
IN SILICO EXPLORATION OF ALTERNATIVE POLYADENYLATION USING NEXT-GENERATION SEQUEN,NIGMS,1R15GM094732-01A1,1,R15,GM,94732,1,A1,9491368,"LIANG, CHUN  ",MIAMI UNIVERSITY OXFORD,2011,283614
FUNCTION OF MESENDODERM IN CLOSURE OF THE ANTERIOR NEURAL TUBE,NICHD,1R15HD068176-01A1,1,R15,HD,68176,1,A1,2094560,"LIANG, JENNIFER O",UNIVERSITY OF MINNESOTA DULUTH,2012,456000
NOVEL MECHANISMS OF NSAID-INDUCED GI TOXICITY,NIDDK,1R15DK091791-01A1,1,R15,DK,91791,1,A1,7535269,"LILLICH, JAMES D",KANSAS STATE UNIVERSITY,2012,333000
MECHANISTIC STUDIES OF TRANSTHYRETIN MISFOLDING AND AMYLOID FORMATION THROUGH A C,NINDS,1R15NS084138-01,1,R15,NS,84138,1,,8128711,"LIM, KWANG HUN ",EAST CAROLINA UNIVERSITY,2013,351706
HAND-HELD OPTICAL IMAGER FOR BREAST CANCER IMAGING,NCI,2R15CA119253-02,2,R15,CA,119253,2,,7008435,"LIN, WEI-CHIANG ",FLORIDA INTERNATIONAL UNIVERSITY,2011,348194
SMART INTRAOPERATIVE GUIDANCE FOR PEDIATRIC BRAIN TUMOR SURGERY,NCI,1R15CA173617-01A1,1,R15,CA,173617,1,A1,7008435,"LIN, WEI-CHIANG ",FLORIDA INTERNATIONAL UNIVERSITY,2013,355812
COMBINATORIAL CONTROL OF TOXIN INDUCED GENE EXPRESSION IN C. ELEGANS,NIEHS,2R15ES013128-02,2,R15,ES,13128,2,,6770909,"LINDBLOM, TIM H",LYON COLLEGE,2010,183283
COPPER UPTAKE FROM PLASMA CERULOPLASMIN,NIGMS,1R15GM100464-01A1,1,R15,GM,100464,1,A1,1858718,"LINDER, MARIA C",CALIFORNIA STATE UNIVERSITY FULLERTON,2012,310730
UNCONVENTIONAL SYNAPTIC MODULATION AT THE VERTEBRATE NEUROMUSCULAR JUNCTION,NINDS,1R15NS072735-01,1,R15,NS,72735,1,,1930221,"LINDGREN, CLARK A",GRINNELL COLLEGE,2010,351814
PREVENTION OF RGC LOSS IN AN IN VITRO EXCITOTOXIC MODEL AND AN IN VIVO MODEL OF G,NEI,1R15EY022795-01,1,R15,EY,22795,1,,1883335,"LINN, CINDY L",WESTERN MICHIGAN UNIVERSITY,2012,415660
THE COORDINATION OF NETRIN SIGNAL TRANSDUCTION,NINDS,1R15NS075738-01,1,R15,NS,75738,1,,9709542,"LIU, GUOFA ",UNIVERSITY OF TOLEDO,2011,436500
SMALL RNAS AND VIBRIO CHOLERAE ADAPTATION TO DIFFERENT CARBON SOURCES,NIAID,7R15AI090606-02,7,R15,AI,90606,2,,10203710,"LIU, JANE MAY",POMONA COLLEGE,2010,147544
PROTOCADHERIN-17 AND -9 FUNCTION IN RETINAL DEVELOPMENT,NEI,2R15EY013879-04,2,R15,EY,13879,4,,2095311,"LIU, QIN ",UNIVERSITY OF AKRON,2011,445393
AN INTEGRATED BIOMETRIC PLATFORM FOR EVALUATION OF NANOMEDICINE DELIVERY,NIBIB,1R15EB015105-01A1,1,R15,EB,15105,1,A1,9351357,"LIU, YALING ",LEHIGH UNIVERSITY,2013,442505
CERAMIDE GLYCOSYLATION DETERMINES THE STEMNESS OF CANCER STEM CELLS,NCI,1R15CA167476-01A1,1,R15,CA,167476,1,A1,8547631,"LIU, YONG-YU ",UNIVERSITY OF LOUISIANA AT MONROE,2013,413394
AMINO ACID SENSING AND SIGNALING IN YEAST,NIGMS,1R15GM094772-01A1,1,R15,GM,94772,1,A1,9876927,"LIU, ZHENGCHANG ",LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS,2011,284331
ROLE OF SLC39A8 (ZIP8) IN SELENITE TRANSPORT,NIEHS,1R15ES022800-01,1,R15,ES,22800,1,,8764265,"LIU, ZIJUAN ",OAKLAND UNIVERSITY,2013,422803
COMMUNITY DIVERSITY AND PARASITE DYNAMICS,NIAID,1R15AI092577-01A1,1,R15,AI,92577,1,A1,1925491,"LIVDAHL, TODD PHILIP","CLARK UNIVERSITY (WORCESTER, MA)",2012,380000
ELUCIDATING BETA-LACTAMASE FUNCTIONAL MECHANISMS VIA EVOLUTIONARY CONSERVATION,NIGMS,1R15GM101570-01A1,1,R15,GM,101570,1,A1,6901975,"LIVESAY, DENNIS R",UNIVERSITY OF NORTH CAROLINA CHARLOTTE,2013,322984
REAL-TIME IMAGING OF TPA FLUORESCENT HYBRIDS IN HIPPOCAMPAL NEURONS,NINDS,2R15NS040425-03,2,R15,NS,40425,3,,6408114,"LOCHNER, JANIS E",LEWIS AND CLARK COLLEGE,2011,345173
IMPLICIT LEARNING IN COTTON-TOP TAMARINS,NCRR,1R15RR031220-01A1,1,R15,RR,31220,1,A1,1960422,"LOCURTO, CHARLES MICHAEL",COLLEGE OF THE HOLY CROSS,2011,341672
STRUCTURAL STUDIES AND CHAR. OF NEUROTOXIC VENOM PEPTIDES FROM SICARIIDAE SPIDERS,NIGMS,2R15GM085733-02,2,R15,GM,85733,2,,6771037,"LOENING, NIKOLAUS MARTIN",LEWIS AND CLARK COLLEGE,2012,240765
SOCIAL MEDIA; TEEN MOMS; AND PPD,NINR,1R15NR013563-01A1,1,R15,NR,13563,1,A1,6861568,"LOGSDON, MIMIA CYNTHIA",UNIVERSITY OF LOUISVILLE RES FDN,2013,449420
CYANYLATED CYSTEINE AS VIBRATIONAL PROBE OF BINDING-INDUCED STRUCTURAL CHANGES IN,NIGMS,2R15GM088749-02,2,R15,GM,88749,2,,7547153,"LONDERGAN, CASEY H",HAVERFORD COLLEGE,2012,303153
A TEST OF LEPTIN'S CENTRAL FUNCTION IN ZEBRAFISH,NIDDK,2R15DK079282-02,2,R15,DK,79282,2,,6377377,"LONDRAVILLE, RICHARD LYLE",UNIVERSITY OF AKRON,2012,435500
REGULATION OF ENOS BY SHEAR STRESS IN INTACT ARTERIES,NHLBI,1R15HL102742-01,1,R15,HL,102742,1,,6677672,"LOOFT-WILSON, ROBIN C",COLLEGE OF WILLIAM AND MARY,2010,207369
CHRONIC CADMIUM EXPOSURE PROMOTES BREAST CANCER PROGRESSION,NCI,3R15CA121983-02S2,3,R15,CA,121983,2,S2,7129547,"LOUIE, MAGGIE C",DOMINICAN UNIVERSITY,2012,52993
CHRONIC CADMIUM EXPOSURE PROMOTES BREAST CANCER PROGRESSION,NCI,3R15CA121983-02S1,3,R15,CA,121983,2,S1,7129547,"LOUIE, MAGGIE C",DOMINICAN UNIVERSITY,2011,53102
CHRONIC CADMIUM EXPOSURE PROMOTES BREAST CANCER PROGRESSION,NCI,2R15CA121983-02,2,R15,CA,121983,2,,7129547,"LOUIE, MAGGIE C",DOMINICAN UNIVERSITY,2010,350000
TOTAL SYNTHESIS OF MARINE-DERIVED ALKALOIDS OF THE NAGELAMIDE FAMILY,NIGMS,1R15GM094755-01A1,1,R15,GM,94755,1,A1,8081256,"LOVELY, CARL ",UNIVERSITY OF TEXAS ARLINGTON,2011,242185
A PUTATIVE HEPARIN RECEPTOR IN SMOOTH MUSCLE CELLS,NHLBI,2R15HL054269-05,2,R15,HL,54269,5,,1880922,"LOWE-KRENTZ, LINDA J",LEHIGH UNIVERSITY,2011,458143
RHO GTPASES AND NEUROPROTECTION MODEL IN CANCER THERAPY,NCI,1R15CA165202-01,1,R15,CA,165202,1,,1858616,"LU, QUN ",EAST CAROLINA UNIVERSITY,2012,421566
ROBOT THERAPY FOR REHABILITATION OF HAND MOVEMENT AFTER STROKE,NICHD,1R15HD075166-01A1,1,R15,HD,75166,1,A1,8774023,"LUM, PETER S.",CATHOLIC UNIVERSITY OF AMERICA,2013,458709
DIABETES; METFORMIN AND BREAST CANCER PROGNOSIS,NCI,1R15CA179463-01,1,R15,CA,179463,1,,9842116,"LUO, JUHUA ",INDIANA UNIVERSITY BLOOMINGTON,2013,414602
NUCLEAR EXPORT OF THE SMALL RIBOSOMAL SUBUNIT,NIGMS,2R15GM061643-03,2,R15,GM,61643,3,,1922453,"LYCAN, DEBORAH E",LEWIS AND CLARK COLLEGE,2011,257775
REDOX-ACTIVE RUTHENIUM COMPLEXES FOR CANCER TREATMENT,NCI,2R15CA113747-02,2,R15,CA,113747,2,,8021182,"MACDONNELL, FREDERICK M",UNIVERSITY OF TEXAS ARLINGTON,2010,213807
GLYCOPROTEIN SIGNATURES AS BIOMARKERS FOR BREAST CANCER,NCI,1R15CA164929-01,1,R15,CA,164929,1,,7752829,"MACHER, BRUCE A. ",SAN FRANCISCO STATE UNIVERSITY,2012,461833
STRUCTURE AND DYNAMICS OF THE SYNAPTONEMAL COMPLEX,NIGMS,1R15GM104827-01A1,1,R15,GM,104827,1,A1,9021471,"MACQUEEN, AMY JOY",WESLEYAN UNIVERSITY,2013,372445
ANTIBIOTIC SPECTRUM SCORING TO MEASURE HOSPITAL-LEVEL ANTIBIOTIC DE-ESCALATION,NIAID,1R15AI098049-01,1,R15,AI,98049,1,,8784935,"MADARAS-KELLY, KARL J.",IDAHO STATE UNIVERSITY,2012,365116
ENDOTHELIAL CELL ACTIVATION REGULATES AML GROWTH AND RELAPSE,NCI,1R15CA182889-01,1,R15,CA,182889,1,,9344930,"MADLAMBAYAN, GERARD JAMES",OAKLAND UNIVERSITY,2014,429874
THE EFFECTS OF ENGINEERED NANOPARTICLE INGESTION ON MINERAL ABSORPTION AND SMALL,NIEHS,1R15ES022828-01,1,R15,ES,22828,1,,11410591,"MAHLER, GRETCHEN ","STATE UNIVERSITY OF NY,BINGHAMTON",2013,430547
SYNTHETIC TOOLS FOR NEW ANTIBIOTICS,NIGMS,1R15GM087291-01A1,1,R15,GM,87291,1,A1,1924870,"MALACHOWSKI, WILLIAM P",BRYN MAWR COLLEGE,2010,211052
REPRESSION OF INFLAMMASOME BY FRANCISELLA TULARENSIS,NIAID,1R15AI107698-01,1,R15,AI,107698,1,,8745309,"MALIK, MEENAKSHI ",ALBANY COLLEGE OF PHARMACY,2013,465000
THERAPEUTIC VACCINES FOR TREATMENT OF EXPERIMENTAL AUTOIMMUNE ENCEPHALOMYELITIS (,NINDS,1R15NS075830-01,1,R15,NS,75830,1,,1905256,"MANNIE, MARK D",EAST CAROLINA UNIVERSITY,2011,429021
INVESTIGATION OF CELLULAR FACTORS INVOLVED IN YEAST PRION APPEARANCE,NIGMS,1R15GM109336-01,1,R15,GM,109336,1,,7891428,"MANOGARAN, ANITA L.",MARQUETTE UNIVERSITY,2014,343140
HIGH MOBILITY GROUP BOX 1 (HMGB1) IN THE AIRWAY AS A THERAPEUTIC TARGET IN CF,NHLBI,4R15HL093708-02,4,R15,HL,93708,2,,9259710,"MANTELL, LIN L.",ST. JOHN'S UNIVERSITY,2014,50000
ACUTE EFFECTS OF ALCOHOL AND ENERGY DRINKS ON BEHAVIORAL CONTROL,NIAAA,1R15AA019795-01,1,R15,AA,19795,1,,10253421,"MARCZINSKI, CECILE A.",NORTHERN KENTUCKY UNIVERSITY,2010,353769
LONG-TERM HERPES SIMPLEX VIRUS-1 SUPPRESSION BY CONTINUOUS ACYCLOVIR DELIVERY,NIAID,1R15AI084069-01A2,1,R15,AI,84069,1,A2,9279338,"MARGULIES, BARRY JOSEPH",TOWSON UNIVERSITY,2011,348319
MITOCHONDRIAL TRANSCRIPTION AND ITS REGULATION IN NEURAL TISSUE,NINDS,1R15NS071484-01,1,R15,NS,71484,1,,9255859,"MARKOV, DMITRIY ",UNIV OF MED/DENT NJ-SCH OSTEOPATHIC MED,2010,466838
THE WESTERN DIET AND O-GLCNAC MODIFICATION OF CHROMATIN PROTEINS,NHLBI,1R15HL104549-01A1,1,R15,HL,104549,1,A1,9839633,"MARSH, SUSAN ANNE",WASHINGTON STATE UNIVERSITY,2011,450626
MICROCHIP-BASED CELL REACTOR ANALYSIS SYSTEM,NIGMS,2R15GM084470-03,2,R15,GM,84470,3,,6278661,"MARTIN, ROBERT SCOTT",SAINT LOUIS UNIVERSITY,2011,285000
HEXIM-1; A NOVEL REGULATOR OF PROSTATE CANCER PROGRESSION,NCI,1R15CA169984-01,1,R15,CA,169984,1,,9548327,"MASCARENO, MANYA DHAR",COLLEGE AT OLD WESTBURY,2012,360292
EFFECTS OF A KETOGENIC DIET ON REGIONAL BRAIN ENERGY AND PLASTICITY,NINDS,1R15NS066392-01A1,1,R15,NS,66392,1,A1,1910624,"MASINO, SUSAN A",TRINITY COLLEGE,2010,230656
SYNTHESIS OF INCONGRUENT TEMPORAL INFORMATION,NIDA,1R15DA029809-01A2,1,R15,DA,29809,1,A2,2094847,"MATELL, MATTHEW S",VILLANOVA UNIVERSITY,2011,405214
NOVEL L-THREO-SPHINGANINES FOR CERAMIDES-BASED CANCER THERAPY,NCI,1R15CA159298-01A1,1,R15,CA,159298,1,A1,1897734,"MAURER, BARRY J",TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,2012,443579
FIBRIN CLOT ARCHITECTURE REGULATED BY FACTOR XIII,NHLBI,1R15HL120068-01,1,R15,HL,120068,1,,1912066,"MAURER, MURIEL C.",UNIVERSITY OF LOUISVILLE RES FDN,2013,410973
CHROMOSOME SEGREGATION IN A FILAMENTOUS BACTERIUM,NIGMS,1R15GM096268-01,1,R15,GM,96268,1,,1882992,"MC CORMICK, JOSEPH R",DUQUESNE UNIVERSITY,2011,269360
